PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
MALUKU UTARA,1,6512.00,11867.00,"26,79","1 115,00",10727.00,2006
PAPUA BARAT,1,1953.00,7735.00,"27,5","45,1",313.00,2006
PAPUA,1,4088.00,28970.00,"27,07","708,4",6843.00,2006
ACEH,2,19638.00,315277.00,"26,73","506,7",25495.00,2006
SUMATERA UTARA,2,6311.00,460486.00,"27,8","222,5",7042.00,2006
SUMATERA BARAT,2,1176.00,229469.00,"26,05",776,1438.00,2006
RIAU,2,3994.00,124985.00,"27,7","537,6",4205.00,2006
JAMBI,2,2637.00,119242.00,"26,77","424,7",3443.00,2006
SUMATERA SELATAN,2,2733.00,523922.00,"27,1","1 442,00",3788.00,2006
BENGKULU,2,1449.00,83885.00,"26,1","2 313,80",1341.00,2006
LAMPUNG,2,3158.00,317413.00,"26,18","560,3",3594.00,2006
KEP. BANGKA BELITUNG,2,-,4048.00,"27,28","1 172,30",-,2006
KEP. RIAU,2,-,82.00,"25,35","491,2",-,2006
DKI JAKARTA,2,-,1466.00,"28,47","527,1",-,2006
JAWA BARAT,2,17878.00,926782.00,"23,44","1 368,00",24495.00,2006
JAWA TENGAH,2,91265.00,963401.00,"27,2","1 142,00",132261.00,2006
DI YOGYAKARTA,2,33419.00,56218.00,-,-,39545.00,2006
JAWA TIMUR,2,246534.00,1096479.00,"28,68","446,2",320205.00,2006
BANTEN,2,1472.00,196538.00,"26,98",563,1919.00,2006
BALI,2,7574.00,79252.00,"26,73","1 096,90",10844.00,2006
NUSA TENGGARA BARAT,2,95278.00,232851.00,"26,75","236,1",10864.00,2006
NUSA TENGGARA TIMUR,2,2694.00,112715.00,,-,2786.00,2006
KALIMANTAN BARAT,2,1515.00,321838.00,"26,9","1 528,20",1728.00,2006
KALIMANTAN TENGAH,2,625.00,166703.00,"27,17","539,7",682.00,2006
KALIMANTAN SELATAN,2,184.00,440720.00,"27,28","749,7",2138.00,2006
KALIMANTAN TIMUR,2,2152.00,90786.00,,,2783.00,2006
KALIMANTAN UTARA,2,-,-,,,-,2006
SULAWESI UTARA,2,3321.00,60262.00,"26,24","2 890,90",4875.00,2006
SULAWESI TENGAH,2,2441.00,119463.00,"26,58","1 178,00",2651.00,2006
SULAWESI SELATAN,2,14189.00,552940.00,"26,98","2 195,00",22242.00,2006
SULAWESI TENGGARA,2,3499.00,62286.00,"25,7","1,5",2982.00,2006
GORONTALO,2,5134.00,25668.00,"26,9",677,6734.00,2006
SULAWESI BARAT,2,783.00,48884.00,,-,1049.00,2006
MALUKU,2,1191.00,8657.00,"26,18","2 130,70",1433.00,2006
MALUKU UTARA,2,994.00,11867.00,"26,79","1 115,00",1164.00,2006
PAPUA BARAT,2,1795.00,7735.00,"27,5","45,1",1887.00,2006
PAPUA,2,3845.00,28970.00,"27,07","708,4",4222.00,2006
ACEH,3,9249.00,315277.00,"26,73","506,7",11091.00,2006
SUMATERA UTARA,3,17991.00,460486.00,"27,8","222,5",20118.00,2006
SUMATERA BARAT,3,8017.00,229469.00,"26,05",776,10116.00,2006
RIAU,3,3619.00,124985.00,"27,7","537,6",3387.00,2006
JAMBI,3,2059.00,119242.00,"26,77","424,7",2431.00,2006
SUMATERA SELATAN,3,8639.00,523922.00,"27,1","1 442,00",11696.00,2006
BENGKULU,3,7128.00,83885.00,"26,1","2 313,80",7038.00,2006
LAMPUNG,3,10127.00,317413.00,"26,18","560,3",11888.00,2006
KEP. BANGKA BELITUNG,3,558.00,4048.00,"27,28","1 172,30",525.00,2006
KEP. RIAU,3,67.00,82.00,"25,35","491,2",60.00,2006
DKI JAKARTA,3,26.00,1466.00,"28,47","527,1",26.00,2006
JAWA BARAT,3,64653.00,926782.00,"23,44","1 368,00",91817.00,2006
JAWA TENGAH,3,147677.00,963401.00,"27,2","1 142,00",179067.00,2006
DI YOGYAKARTA,3,68031.00,56218.00,-,-,66359.00,2006
JAWA TIMUR,3,186302.00,1096479.00,"28,68","446,2",218910.00,2006
BANTEN,3,14211.00,196538.00,"26,98",563,18535.00,2006
BALI,3,13433.00,79252.00,"26,73","1 096,90",18040.00,2006
NUSA TENGGARA BARAT,3,34860.00,232851.00,"26,75","236,1",43955.00,2006
NUSA TENGGARA TIMUR,3,17356.00,112715.00,,-,17831.00,2006
KALIMANTAN BARAT,3,2178.00,321838.00,"26,9","1 528,20",2397.00,2006
KALIMANTAN TENGAH,3,1863.00,166703.00,"27,17","539,7",2050.00,2006
KALIMANTAN SELATAN,3,13900.00,440720.00,"27,28","749,7",15759.00,2006
KALIMANTAN TIMUR,3,1966.00,90786.00,,,2223.00,2006
KALIMANTAN UTARA,3,-,-,,,-,2006
SULAWESI UTARA,3,5821.00,60262.00,"26,24","2 890,90",7205.00,2006
SULAWESI TENGAH,3,7271.00,119463.00,"26,58","1 178,00",10421.00,2006
SULAWESI SELATAN,3,36776.00,552940.00,"26,98","2 195,00",41759.00,2006
SULAWESI TENGGARA,3,8227.00,62286.00,"25,7","1,5",6756.00,2006
GORONTALO,3,2460.00,25668.00,"26,9",677,2862.00,2006
SULAWESI BARAT,3,395.00,48884.00,,-,541.00,2006
MALUKU,3,2445.00,8657.00,"26,18","2 130,70",2902.00,2006
MALUKU UTARA,3,4970.00,11867.00,"26,79","1 115,00",5750.00,2006
PAPUA BARAT,3,1919.00,7735.00,"27,5","45,1",1936.00,2006
PAPUA,3,2559.00,28970.00,"27,07","708,4",2645.00,2006
ACEH,4,2927.00,315277.00,"26,73","506,7",3373.00,2006
SUMATERA UTARA,4,6173.00,460486.00,"27,8","222,5",6536.00,2006
SUMATERA BARAT,4,1198.00,229469.00,"26,05",776,1380.00,2006
RIAU,4,2194.00,124985.00,"27,7","537,6",2311.00,2006
JAMBI,4,577.00,119242.00,"26,77","424,7",600.00,2006
SUMATERA SELATAN,4,2680.00,523922.00,"27,1","1 442,00",3396.00,2006
BENGKULU,4,1556.00,83885.00,"26,1","2 313,80",1482.00,2006
LAMPUNG,4,5022.00,317413.00,"26,18","560,3",4455.00,2006
KEP. BANGKA BELITUNG,4,-,4048.00,"27,28","1 172,30",-,2006
KEP. RIAU,4,2.00,82.00,"25,35","491,2",2.00,2006
DKI JAKARTA,4,-,1466.00,"28,47","527,1",-,2006
JAWA BARAT,4,12491.00,926782.00,"23,44","1 368,00",13228.00,2006
JAWA TENGAH,4,89897.00,963401.00,"27,2","1 142,00",96347.00,2006
DI YOGYAKARTA,4,967.00,56218.00,-,-,563.00,2006
JAWA TIMUR,4,69649.00,1096479.00,"28,68","446,2",77166.00,2006
BANTEN,4,2145.00,196538.00,"26,98",563,1949.00,2006
BALI,4,1377.00,79252.00,"26,73","1 096,90",1260.00,2006
NUSA TENGGARA BARAT,4,50061.00,232851.00,"26,75","236,1",40968.00,2006
NUSA TENGGARA TIMUR,4,22958.00,112715.00,,-,19353.00,2006
KALIMANTAN BARAT,4,1854.00,321838.00,"26,9","1 528,20",1290.00,2006
KALIMANTAN TENGAH,4,366.00,166703.00,"27,17","539,7",296.00,2006
KALIMANTAN SELATAN,4,1139.00,440720.00,"27,28","749,7",1166.00,2006
KALIMANTAN TIMUR,4,890.00,90786.00,,,928.00,2006
KALIMANTAN UTARA,4,-,-,,,-,2006
SULAWESI UTARA,4,1506.00,60262.00,"26,24","2 890,90",2078.00,2006
SULAWESI TENGAH,4,1686.00,119463.00,"26,58","1 178,00",1281.00,2006
SULAWESI SELATAN,4,23490.00,552940.00,"26,98","2 195,00",28554.00,2006
SULAWESI TENGGARA,4,1955.00,62286.00,"25,7","1,5",1475.00,2006
GORONTALO,4,548.00,25668.00,"26,9",677,621.00,2006
SULAWESI BARAT,4,705.00,48884.00,,-,907.00,2006
MALUKU,4,547.00,8657.00,"26,18","2 130,70",563.00,2006
MALUKU UTARA,4,364.00,11867.00,"26,79","1 115,00",387.00,2006
PAPUA BARAT,4,910.00,7735.00,"27,5","45,1",928.00,2006
PAPUA,4,1269.00,28970.00,"27,07","708,4",1291.00,2006
ACEH,5,3754.00,315277.00,"26,73","506,7",46504.00,2006
SUMATERA UTARA,5,35996.00,460486.00,"27,8","222,5",452450.00,2006
SUMATERA BARAT,5,7800.00,229469.00,"26,05",776,133095.00,2006
RIAU,5,4410.00,124985.00,"27,7","537,6",47586.00,2006
JAMBI,5,3131.00,119242.00,"26,77","424,7",40779.00,2006
SUMATERA SELATAN,5,17366.00,523922.00,"27,1","1 442,00",228321.00,2006
BENGKULU,5,9761.00,83885.00,"26,1","2 313,80",113488.00,2006
LAMPUNG,5,283430.00,317413.00,"26,18","560,3",5499403.00,2006
KEP. BANGKA BELITUNG,5,1233.00,4048.00,"27,28","1 172,30",17264.00,2006
KEP. RIAU,5,660.00,82.00,"25,35","491,2",6899.00,2006
DKI JAKARTA,5,70.00,1466.00,"28,47","527,1",804.00,2006
JAWA BARAT,5,113663.00,926782.00,"23,44","1 368,00",2044674.00,2006
JAWA TENGAH,5,211917.00,963401.00,"27,2","1 142,00",3553820.00,2006
DI YOGYAKARTA,5,60926.00,56218.00,-,-,1016270.00,2006
JAWA TIMUR,5,232538.00,1096479.00,"28,68","446,2",3680567.00,2006
BANTEN,5,10266.00,196538.00,"26,98",563,143561.00,2006
BALI,5,12435.00,79252.00,"26,73","1 096,90",159058.00,2006
NUSA TENGGARA BARAT,5,7482.00,232851.00,"26,75","236,1",87041.00,2006
NUSA TENGGARA TIMUR,5,89591.00,112715.00,,-,938010.00,2006
KALIMANTAN BARAT,5,17775.00,321838.00,"26,9","1 528,20",250173.00,2006
KALIMANTAN TENGAH,5,5639.00,166703.00,"27,17","539,7",65661.00,2006
KALIMANTAN SELATAN,5,6050.00,440720.00,"27,28","749,7",82389.00,2006
KALIMANTAN TIMUR,5,6549.00,90786.00,,,101249.00,2006
KALIMANTAN UTARA,5,-,-,,,-,2006
SULAWESI UTARA,5,6022.00,60262.00,"26,24","2 890,90",82416.00,2006
SULAWESI TENGAH,5,3762.00,119463.00,"26,58","1 178,00",52791.00,2006
SULAWESI SELATAN,5,32852.00,552940.00,"26,98","2 195,00",567749.00,2006
SULAWESI TENGGARA,5,14825.00,62286.00,"25,7","1,5",238039.00,2006
GORONTALO,5,827.00,25668.00,"26,9",677,9410.00,2006
SULAWESI BARAT,5,3073.00,48884.00,,-,40413.00,2006
MALUKU,5,8126.00,8657.00,"26,18","2 130,70",103260.00,2006
MALUKU UTARA,5,10237.00,11867.00,"26,79","1 115,00",123833.00,2006
PAPUA BARAT,5,1956.00,7735.00,"27,5","45,1",21838.00,2006
PAPUA,5,3337.00,28970.00,"27,07","708,4",37825.00,2006
ACEH,6,1661.00,315277.00,"26,73","506,7",16238.00,2006
SUMATERA UTARA,6,10630.00,460486.00,"27,8","222,5",102712.00,2006
SUMATERA BARAT,6,4146.00,229469.00,"26,05",776,53758.00,2006
RIAU,6,1413.00,124985.00,"27,7","537,6",11123.00,2006
JAMBI,6,3407.00,119242.00,"26,77","424,7",29261.00,2006
SUMATERA SELATAN,6,2950.00,523922.00,"27,1","1 442,00",20747.00,2006
BENGKULU,6,5366.00,83885.00,"26,1","2 313,80",51184.00,2006
LAMPUNG,6,4400.00,317413.00,"26,18","560,3",42586.00,2006
KEP. BANGKA BELITUNG,6,481.00,4048.00,"27,28","1 172,30",3820.00,2006
KEP. RIAU,6,190.00,82.00,"25,35","491,2",1463.00,2006
DKI JAKARTA,6,-,1466.00,"28,47","527,1",-,2006
JAWA BARAT,6,29805.00,926782.00,"23,44","1 368,00",389043.00,2006
JAWA TENGAH,6,9384.00,963401.00,"27,2","1 142,00",123485.00,2006
DI YOGYAKARTA,6,611.00,56218.00,-,-,6236.00,2006
JAWA TIMUR,6,13818.00,1096479.00,"28,68","446,2",150540.00,2006
BANTEN,6,3020.00,196538.00,"26,98",563,34373.00,2006
BALI,6,7241.00,79252.00,"26,73","1 096,90",92078.00,2006
NUSA TENGGARA BARAT,6,1693.00,232851.00,"26,75","236,1",19372.00,2006
NUSA TENGGARA TIMUR,6,14480.00,112715.00,,-,111279.00,2006
KALIMANTAN BARAT,6,1853.00,321838.00,"26,9","1 528,20",14356.00,2006
KALIMANTAN TENGAH,6,1383.00,166703.00,"27,17","539,7",9645.00,2006
KALIMANTAN SELATAN,6,2603.00,440720.00,"27,28","749,7",26335.00,2006
KALIMANTAN TIMUR,6,2859.00,90786.00,,,26334.00,2006
KALIMANTAN UTARA,6,-,-,,,-,2006
SULAWESI UTARA,6,3755.00,60262.00,"26,24","2 890,90",37345.00,2006
SULAWESI TENGAH,6,2771.00,119463.00,"26,58","1 178,00",26886.00,2006
SULAWESI SELATAN,6,5029.00,552940.00,"26,98","2 195,00",54303.00,2006
SULAWESI TENGGARA,6,3058.00,62286.00,"25,7","1,5",24432.00,2006
GORONTALO,6,378.00,25668.00,"26,9",677,3557.00,2006
SULAWESI BARAT,6,573.00,48884.00,,-,6194.00,2006
MALUKU,6,2355.00,8657.00,"26,18","2 130,70",20081.00,2006
MALUKU UTARA,6,3860.00,11867.00,"26,79","1 115,00",33673.00,2006
PAPUA BARAT,6,2167.00,7735.00,"27,5","45,1",21375.00,2006
PAPUA,6,29167.00,28970.00,"27,07","708,4",290424.00,2006
ACEH,0,360717.00,312803.00,…,,1533369.00,2007
SUMATERA UTARA,0,750232.00,453372.00,27,"2 513,00",3265834.00,2007
SUMATERA BARAT,0,423655.00,227355.00,"25,7","4 329,00",1938120.00,2007
RIAU,0,147167.00,128242.00,"27,1","3 216,30",490087.00,2007
JAMBI,0,149888.00,117543.00,"26,6","2 394,00",58663.00,2007
SUMATERA SELATAN,0,691467.00,530204.00,27,"2 364,70",2753044.00,2007
BENGKULU,0,123853.00,93779.00,"26,4","3 150,00",470469.00,2007
LAMPUNG,0,524955.00,342507.00,"27,6","1 941,40",2308404.00,2007
KEP. BANGKA BELITUNG,0,9010.00,4176.00,"26,7","2 734,90",2439.00,2007
KEP. RIAU,0,117.00,124.00,26,"3 633,90",343.00,2007
DKI JAKARTA,0,1544.00,1200.00,"28,3","2 353,90",8002.00,2007
JAWA BARAT,0,1829085.00,934845.00,"23,5","2 219,00",9914019.00,2007
JAWA TENGAH,0,1614098.00,962942.00,"27,9","1 868,00",8616855.00,2007
DI YOGYAKARTA,0,133369.00,55540.00,"25,8",919,709294.00,2007
JAWA TIMUR,0,1736048.00,1096605.00,"29,1","1 515,20",9402029.00,2007
BANTEN,0,356803.00,196370.00,"26,7",735,1816140.00,2007
BALI,0,145030.00,80251.00,"26,9","1 985,10",839775.00,2007
NUSA TENGGARA BARAT,0,331916.00,231129.00,"26,6","1 408,00",1526347.00,2007
NUSA TENGGARA TIMUR,0,166753.00,122649.00,"27,3","1 291,00",505628.00,2007
KALIMANTAN BARAT,0,399832.00,290392.00,"26,7","3 666,00",1225259.00,2007
KALIMANTAN TENGAH,0,229665.00,159059.00,"27,4","3 613,40",562473.00,2007
KALIMANTAN SELATAN,0,505846.00,471042.00,"26,7","2 487,80",1953868.00,2007
KALIMANTAN TIMUR,0,155484.00,92934.00,"27,5","2 454,10",567501.00,2007
KALIMANTAN UTARA,0,-,-,,,-,2007
SULAWESI UTARA,0,103189.00,61098.00,"26,3","3 436,80",49495.00,2007
SULAWESI TENGAH,0,204342.00,128250.00,"25,2","953,4",857508.00,2007
SULAWESI SELATAN,0,770733.00,560989.00,27,"3 377,00",3635139.00,2007
SULAWESI TENGGARA,0,110498.00,65338.00,"26,7","3 465,80",423316.00,2007
GORONTALO,0,44548.00,27794.00,"28,6","1 781,00",200421.00,2007
SULAWESI BARAT,0,66630.00,50800.00,"27,2","1 472,40",312676.00,2007
MALUKU,0,15352.00,10035.00,27,"3 144,60",57132.00,2007
MALUKU UTARA,0,14497.00,11782.00,"26,7","2 295,00",48531.00,2007
PAPUA BARAT,0,8357.00,8395.00,"27,4","1 492,00",28204.00,2007
PAPUA,0,22957.00,26397.00,"27,2","2 314,00",81678.00,2007
ACEH,1,36774.00,312803.00,…,,125155.00,2007
SUMATERA UTARA,1,229882.00,453372.00,27,"2 513,00",80485.00,2007
SUMATERA BARAT,1,43182.00,227355.00,"25,7","4 329,00",223233.00,2007
RIAU,1,18379.00,128242.00,"27,1","3 216,30",4041.00,2007
JAMBI,1,8655.00,117543.00,"26,6","2 394,00",30028.00,2007
SUMATERA SELATAN,1,25908.00,530204.00,27,"2 364,70",84081.00,2007
BENGKULU,1,27117.00,93779.00,"26,4","3 150,00",83385.00,2007
LAMPUNG,1,369971.00,342507.00,"27,6","1 941,40",1346821.00,2007
KEP. BANGKA BELITUNG,1,904.00,4176.00,"26,7","2 734,90",2736.00,2007
KEP. RIAU,1,439.00,124.00,26,"3 633,90",893.00,2007
DKI JAKARTA,1,20.00,1200.00,"28,3","2 353,90",39.00,2007
JAWA BARAT,1,113373.00,934845.00,"23,5","2 219,00",577513.00,2007
JAWA TENGAH,1,571013.00,962942.00,"27,9","1 868,00",2233992.00,2007
DI YOGYAKARTA,1,70216.00,55540.00,"25,8",919,258187.00,2007
JAWA TIMUR,1,1153496.00,1096605.00,"29,1","1 515,20",4252182.00,2007
BANTEN,1,6736.00,196370.00,"26,7",735,20723.00,2007
BALI,1,24021.00,80251.00,"26,9","1 985,10",69209.00,2007
NUSA TENGGARA BARAT,1,42955.00,231129.00,"26,6","1 408,00",120612.00,2007
NUSA TENGGARA TIMUR,1,217478.00,122649.00,"27,3","1 291,00",51436.00,2007
KALIMANTAN BARAT,1,36295.00,290392.00,"26,7","3 666,00",154118.00,2007
KALIMANTAN TENGAH,1,1385.00,159059.00,"27,4","3 613,40",3971.00,2007
KALIMANTAN SELATAN,1,22241.00,471042.00,"26,7","2 487,80",100957.00,2007
KALIMANTAN TIMUR,1,4919.00,92934.00,"27,5","2 454,10",1162.00,2007
KALIMANTAN UTARA,1,-,-,,,-,2007
SULAWESI UTARA,1,115664.00,61098.00,"26,3","3 436,80",406759.00,2007
SULAWESI TENGAH,1,40516.00,128250.00,"25,2","953,4",119324.00,2007
SULAWESI SELATAN,1,262436.00,560989.00,27,"3 377,00",969955.00,2007
SULAWESI TENGGARA,1,40975.00,65338.00,"26,7","3 465,80",97037.00,2007
GORONTALO,1,119027.00,27794.00,"28,6","1 781,00",572785.00,2007
SULAWESI BARAT,1,7359.00,50800.00,"27,2","1 472,40",26633.00,2007
MALUKU,1,6761.00,10035.00,27,"3 144,60",15685.00,2007
MALUKU UTARA,1,6568.00,11782.00,"26,7","2 295,00",10793.00,2007
PAPUA BARAT,1,1518.00,8395.00,"27,4","1 492,00",2428.00,2007
PAPUA,1,4141.00,26397.00,"27,2","2 314,00",7053.00,2007
ACEH,2,14743.00,312803.00,…,,19025.00,2007
SUMATERA UTARA,2,3747.00,453372.00,27,"2 513,00",4345.00,2007
SUMATERA BARAT,2,883.00,227355.00,"25,7","4 329,00",1131.00,2007
RIAU,2,2266.00,128242.00,"27,1","3 216,30",2419.00,2007
JAMBI,2,3406.00,117543.00,"26,6","2 394,00",4316.00,2007
SUMATERA SELATAN,2,199.00,530204.00,27,"2 364,70",2873.00,2007
BENGKULU,2,188.00,93779.00,"26,4","3 150,00",1747.00,2007
LAMPUNG,2,3008.00,342507.00,"27,6","1 941,40",3396.00,2007
KEP. BANGKA BELITUNG,2,-,4176.00,"26,7","2 734,90",-,2007
KEP. RIAU,2,-,124.00,26,"3 633,90",-,2007
DKI JAKARTA,2,-,1200.00,"28,3","2 353,90",-,2007
JAWA BARAT,2,12429.00,934845.00,"23,5","2 219,00",17438.00,2007
JAWA TENGAH,2,84098.00,962942.00,"27,9","1 868,00",123209.00,2007
DI YOGYAKARTA,2,27628.00,55540.00,"25,8",919,29692.00,2007
JAWA TIMUR,2,199493.00,1096605.00,"29,1","1 515,20",252027.00,2007
BANTEN,2,2041.00,196370.00,"26,7",735,262.00,2007
BALI,2,5753.00,80251.00,"26,9","1 985,10",8417.00,2007
NUSA TENGGARA BARAT,2,56901.00,231129.00,"26,6","1 408,00",68419.00,2007
NUSA TENGGARA TIMUR,2,1529.00,122649.00,"27,3","1 291,00",1561.00,2007
KALIMANTAN BARAT,2,693.00,290392.00,"26,7","3 666,00",802.00,2007
KALIMANTAN TENGAH,2,719.00,159059.00,"27,4","3 613,40",784.00,2007
KALIMANTAN SELATAN,2,1806.00,471042.00,"26,7","2 487,80",206.00,2007
KALIMANTAN TIMUR,2,1521.00,92934.00,"27,5","2 454,10",2008.00,2007
KALIMANTAN UTARA,2,-,-,,,-,2007
SULAWESI UTARA,2,2662.00,61098.00,"26,3","3 436,80",4578.00,2007
SULAWESI TENGAH,2,2299.00,128250.00,"25,2","953,4",2589.00,2007
SULAWESI SELATAN,2,12029.00,560989.00,27,"3 377,00",18972.00,2007
SULAWESI TENGGARA,2,3719.00,65338.00,"26,7","3 465,80",3375.00,2007
GORONTALO,2,4004.00,27794.00,"28,6","1 781,00",5694.00,2007
SULAWESI BARAT,2,793.00,50800.00,"27,2","1 472,40",108.00,2007
MALUKU,2,1227.00,10035.00,27,"3 144,60",148.00,2007
MALUKU UTARA,2,966.00,11782.00,"26,7","2 295,00",1134.00,2007
PAPUA BARAT,2,1282.00,8395.00,"27,4","1 492,00",1361.00,2007
PAPUA,2,3601.00,26397.00,"27,2","2 314,00",3982.00,2007
ACEH,3,6582.00,312803.00,…,,7972.00,2007
SUMATERA UTARA,3,17694.00,453372.00,27,"2 513,00",20329.00,2007
SUMATERA BARAT,3,7185.00,227355.00,"25,7","4 329,00",9671.00,2007
RIAU,3,3475.00,128242.00,"27,1","3 216,30",3225.00,2007
JAMBI,3,2060.00,117543.00,"26,6","2 394,00",2501.00,2007
SUMATERA SELATAN,3,5583.00,530204.00,27,"2 364,70",7676.00,2007
BENGKULU,3,5477.00,93779.00,"26,4","3 150,00",5430.00,2007
LAMPUNG,3,10698.00,342507.00,"27,6","1 941,40",12756.00,2007
KEP. BANGKA BELITUNG,3,612.00,4176.00,"26,7","2 734,90",568.00,2007
KEP. RIAU,3,71.00,124.00,26,"3 633,90",63.00,2007
DKI JAKARTA,3,18.00,1200.00,"28,3","2 353,90",18.00,2007
JAWA BARAT,3,63922.00,934845.00,"23,5","2 219,00",91439.00,2007
JAWA TENGAH,3,139250.00,962942.00,"27,9","1 868,00",174438.00,2007
DI YOGYAKARTA,3,66527.00,55540.00,"25,8",919,56667.00,2007
JAWA TIMUR,3,167324.00,1096605.00,"29,1","1 515,20",196886.00,2007
BANTEN,3,13715.00,196370.00,"26,7",735,18171.00,2007
BALI,3,13732.00,80251.00,"26,9","1 985,10",19077.00,2007
NUSA TENGGARA BARAT,3,25488.00,231129.00,"26,6","1 408,00",32913.00,2007
NUSA TENGGARA TIMUR,3,18517.00,122649.00,"27,3","1 291,00",21353.00,2007
KALIMANTAN BARAT,3,1685.00,290392.00,"26,7","3 666,00",1902.00,2007
KALIMANTAN TENGAH,3,1537.00,159059.00,"27,4","3 613,40",1690.00,2007
KALIMANTAN SELATAN,3,15843.00,471042.00,"26,7","2 487,80",18214.00,2007
KALIMANTAN TIMUR,3,2161.00,92934.00,"27,5","2 454,10",2425.00,2007
KALIMANTAN UTARA,3,-,-,,,-,2007
SULAWESI UTARA,3,5756.00,61098.00,"26,3","3 436,80",7562.00,2007
SULAWESI TENGAH,3,7312.00,128250.00,"25,2","953,4",10808.00,2007
SULAWESI SELATAN,3,34011.00,560989.00,27,"3 377,00",39740.00,2007
SULAWESI TENGGARA,3,8696.00,65338.00,"26,7","3 465,80",7628.00,2007
GORONTALO,3,2591.00,27794.00,"28,6","1 781,00",3336.00,2007
SULAWESI BARAT,3,552.00,50800.00,"27,2","1 472,40",777.00,2007
MALUKU,3,2562.00,10035.00,27,"3 144,60",3061.00,2007
MALUKU UTARA,3,5374.00,11782.00,"26,7","2 295,00",6186.00,2007
PAPUA BARAT,3,1725.00,8395.00,"27,4","1 492,00",1762.00,2007
PAPUA,3,2745.00,26397.00,"27,2","2 314,00",2845.00,2007
ACEH,4,3076.00,312803.00,…,,3395.00,2007
SUMATERA UTARA,4,4569.00,453372.00,27,"2 513,00",4855.00,2007
SUMATERA BARAT,4,1157.00,227355.00,"25,7","4 329,00",1345.00,2007
RIAU,4,1650.00,128242.00,"27,1","3 216,30",1739.00,2007
JAMBI,4,545.00,117543.00,"26,6","2 394,00",566.00,2007
SUMATERA SELATAN,4,2448.00,530204.00,27,"2 364,70",3351.00,2007
BENGKULU,4,1845.00,93779.00,"26,4","3 150,00",1757.00,2007
LAMPUNG,4,5035.00,342507.00,"27,6","1 941,40",4477.00,2007
KEP. BANGKA BELITUNG,4,-,4176.00,"26,7","2 734,90",-,2007
KEP. RIAU,4,2.00,124.00,26,"3 633,90",2.00,2007
DKI JAKARTA,4,-,1200.00,"28,3","2 353,90",-,2007
JAWA BARAT,4,11094.00,934845.00,"23,5","2 219,00",12061.00,2007
JAWA TENGAH,4,89921.00,962942.00,"27,9","1 868,00",97163.00,2007
DI YOGYAKARTA,4,874.00,55540.00,"25,8",919,571.00,2007
JAWA TIMUR,4,71743.00,1096605.00,"29,1","1 515,20",80241.00,2007
BANTEN,4,2663.00,196370.00,"26,7",735,2343.00,2007
BALI,4,940.00,80251.00,"26,9","1 985,10",873.00,2007
NUSA TENGGARA BARAT,4,43990.00,231129.00,"26,6","1 408,00",40970.00,2007
NUSA TENGGARA TIMUR,4,24694.00,122649.00,"27,3","1 291,00",20802.00,2007
KALIMANTAN BARAT,4,1415.00,290392.00,"26,7","3 666,00",979.00,2007
KALIMANTAN TENGAH,4,426.00,159059.00,"27,4","3 613,40",348.00,2007
KALIMANTAN SELATAN,4,1517.00,471042.00,"26,7","2 487,80",1548.00,2007
KALIMANTAN TIMUR,4,951.00,92934.00,"27,5","2 454,10",999.00,2007
KALIMANTAN UTARA,4,-,-,,,-,2007
SULAWESI UTARA,4,1614.00,61098.00,"26,3","3 436,80",2153.00,2007
SULAWESI TENGAH,4,1418.00,128250.00,"25,2","953,4",1115.00,2007
SULAWESI SELATAN,4,26594.00,560989.00,27,"3 377,00",32811.00,2007
SULAWESI TENGGARA,4,2273.00,65338.00,"26,7","3 465,80",1832.00,2007
GORONTALO,4,420.00,27794.00,"28,6","1 781,00",515.00,2007
SULAWESI BARAT,4,817.00,50800.00,"27,2","1 472,40",1073.00,2007
MALUKU,4,570.00,10035.00,27,"3 144,60",601.00,2007
MALUKU UTARA,4,378.00,11782.00,"26,7","2 295,00",404.00,2007
PAPUA BARAT,4,667.00,8395.00,"27,4","1 492,00",671.00,2007
PAPUA,4,901.00,26397.00,"27,2","2 314,00",927.00,2007
ACEH,5,3351.00,312803.00,…,,41558.00,2007
SUMATERA UTARA,5,34812.00,453372.00,27,"2 513,00",438573.00,2007
SUMATERA BARAT,5,6166.00,227355.00,"25,7","4 329,00",114551.00,2007
RIAU,5,4718.00,128242.00,"27,1","3 216,30",51784.00,2007
JAMBI,5,3388.00,117543.00,"26,6","2 394,00",44794.00,2007
SUMATERA SELATAN,5,11153.00,530204.00,27,"2 364,70",150133.00,2007
BENGKULU,5,6614.00,93779.00,"26,4","3 150,00",76924.00,2007
LAMPUNG,5,316806.00,342507.00,"27,6","1 941,40",6394906.00,2007
KEP. BANGKA BELITUNG,5,1348.00,4176.00,"26,7","2 734,90",18666.00,2007
KEP. RIAU,5,673.00,124.00,26,"3 633,90",7077.00,2007
DKI JAKARTA,5,54.00,1200.00,"28,3","2 353,90",628.00,2007
JAWA BARAT,5,105508.00,934845.00,"23,5","2 219,00",1922840.00,2007
JAWA TENGAH,5,198714.00,962942.00,"27,9","1 868,00",3410469.00,2007
DI YOGYAKARTA,5,61237.00,55540.00,"25,8",919,976610.00,2007
JAWA TIMUR,5,223348.00,1096605.00,"29,1","1 515,20",3423630.00,2007
